"","Cəmi","XV (manat ekv.)","Cəmi","XV (manat ekv.)","Cəmi","XV (manat ekv.)","","Cəmi","XV (manat ekv.)","","Cəmi","XV (manat ekv.)","","Cəmi","XV (manat ekv.)","","Cəmi","XV (manat ekv.)","","Cəmi","XV (manat ekv.)","","Cəmi","XV (manat ekv.)","","Cəmi","XV (manat ekv.)","","Cəmi","XV (manat ekv.)","","Cəmi","XV (manat ekv.)","","Cəmi","XV (manat ekv.)","","Cəmi","XV (manat ekv.)","","Cəmi","XV (manat ekv.)","","Cəmi","XV (manat ekv.)","Cəmi","XV (manat ekv.)","Cəmi","XV (manat ekv.)","Cəmi","XV (manat ekv.)","Cəmi",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ilə (manat ekv.)"
"assets","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","FXAZNEqui-8-","","","FXAZNEqui-15-","","","FXAZNEqui-31-","","","FXAZNEqui-61-","","","FXAZNEqui-91-","","","FXAZNEqui-121-","","","FXAZNEqui-151-","","","FXAZNEqui-181-","","","FXAZNEqui-211-","","","FXAZNEqui-241-","","","FXAZNEqui-271-","","","FXAZNEqui 301-","","","FXAZNEqui-331-","","","","","","","","","","",""
"","tot-ins","FXAZNEqui-ins","tot-1-7","FXAZNEqui-1-7","tot-8-14","","","tot-15-30","","","tot-31-60","","","tot-61-90","","","tot-91-120","","","tot-121-150","","","tot-151-180","","","tot-181-210","","","tot-211-240","","","tot-241-270","","","tot-271-300","","","tot-301-300","","","tot-331-365","","","tot-1-2","FXAZNEqui-1-2","Tot-2-3","FXAZNEqui-2-3","tot-3-5","FXAZNEqui-3-5","tot>5","FXAZNEqui>5","tot-tot","FXAZNEqui-tot"
"","","","","","","14","","","30","","","60","","","90","","","120","","","150","","","180","","","210","","","240","","","270","","","300","","","330","","","365","","","","","","","","","","",""
"1. Nağd vəsaitlər (seyflərdə, bankomatlarda, valyuta mübadiləsi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","712 008","116 337","0","","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","712 008","116 337"
"şöbələrində, yolda)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2. AMB-na olan tələblər (məcburi ehtiyat fondu və ya müxbir","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","1 139 977","456 371","0","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","30 189","10 576","1 170 166","466 946"
"hesabları)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3. “Nostro"" hesabları","93 502","93 502","0","0","0","","0","0","","0","199","","199","2 464","","2 464","5 390","","5 390","0","","0","0","","0","0","","0","0","","0","0","","0","7 463","","7 463","12 679","","12 679","2 497","","2 497","0","0","0","0","0","0","0","0","124 194","124 194"
"a) Rezident banklara","38 055","38 055","0","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","38 055","38 055"
"b) Qeyri-rezident banklara","55 446","55 446","0","0","0","","0","0","","0","199","","199","2 464","","2 464","5 390","","5 390","0","","0","0","","0","0","","0","0","","0","0","","0","7 463","","7 463","12 679","","12 679","2 497","","2 497","0","0","0","0","0","0","0","0","86 139","86 139"
"4. Banklararası bazarın qısamüddətli maliyyə alətləri (7-ci gün də","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","0","0","0","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0","0"
"daxil olmaqla 7 günədək olanlar)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5. Banklar daxil da olmaqla, maliyyə institutlarına depozitlər, cəmi","23 960","23 960","51 000","51 000","17 000","","0","0","","0","2 550","","2 550","0","","0","20 000","","0","0","","0","0","","0","0","","0","0","","0","13 600","","0","0","","0","0","","0","28 500","","0","0","0","0","0","0","0","0","0","156 610","77 510"
"a) Rezident maliyyə institutlarına","0","0","0","0","17 000","","0","0","","0","0","","0","0","","0","20 000","","0","0","","0","0","","0","0","","0","0","","0","13 600","","0","0","","0","0","","0","28 500","","0","0","0","0","0","0","0","0","0","79 100","0"
"a1) müddəti çatmamış depozitlər","0","0","0","0","17 000","","0","0","","0","0","","0","0","","0","20 000","","0","0","","0","0","","0","0","","0","0","","0","13 600","","0","0","","0","0","","0","28 500","","0","0","0","0","0","0","0","0","0","79 100","0"
"a2) qaytarılma müddəti bitmiş depozitlər","0","0","0","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","","","0","0"
"b) Qeyri-rezident maliyyə institutlarına","23 960","23 960","51 000","51 000","0","","0","0","","0","2 550","","2 550","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","77 510","77 510"
"b1) müddəti çatmamış depozitlər","23 960","23 960","51 000","51 000","0","","0","0","","0","2 550","","2 550","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","77 510","77 510"
"b2) qaytarılma müddəti bitmiş depozitlər","0","0","0","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","","","0","0"
"6. Əks REPO əməliyyatları üzrə","0","0","95 847","0","0","","0","0","","0","20 000","","0","2 000","","0","0","","0","86 410","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","204 257","0"
"7. Girov qoyulmuş qiymətli kağızlar da daxil olmaqla  qiymətli","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","0","0","47 215","85","57 765","","459","43 096","","1 331","8 354","","1 773","14 559","","0","67 447","","1 545","2 550","","2 550","340","","340","74 763","","510","1 088","","1 088","1 459","","510","3 514","","850","14 383","","340","11 450","","0","335 901","4 740","146 747","63 201","116 069","116 069","19 984","19 984","966 683","215 375"
"kağızlara investisiyalar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8. Girov qoyulmuş qiymətli kağızlar da daxil olmaqla ticarət üçün","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","0","0","0","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","27 500","0","27 500","0"
"qiymətli kağızlar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9. 4-cü sətir üzrə banklararası bazarın qısamüddətli maliyyə alətləri","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","0","0","0","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","0","8 500","8 500","0","0","0","0","8 500","8 500"
"istisna olmaqla, banklara kreditlər","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"a) cari kreditlər","0","0","0","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","0","8 500","8 500","0","0","0","0","8 500","8 500"
"a1) Rezident banklara","0","0","0","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0","0"
"a2) Qeyri-rezident banklara","0","0","0","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","0","8 500","8 500","0","0","0","0","8 500","8 500"
"b) vaxtı keçmiş  kreditlər","0","0","0","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0","0"
