,,,ÖDƏNİŞ MÜDDƏTLƏRİNİN BÖLGÜSÜ,,,,,,
,,,,,,,,,(min manatla)
,,,Ödəniş müddətinin başlanmasına qalmış günlər (illər),,,,,,O cumlədən
A.    Aktivlər,,,,,,,,,
,,"ani 
 1-7 
 8-14 
 15-30 
 31-60  
 61-90","91-120  
 121-150  
 151-180  
 181-210  
 211-240  
 241-270  
 271-300",301-330,331-365 (366),1-2 il,"2-3 il 
 3-5 il 
 5 ildən artıq 
 Cəmi",sabit faizlə,"dəyişkən faizlə 
 faizsiz"
"1. Nağd vəsaitlər (seyflərdə, bankomatlarda, valyuta mübadiləsi",A1,"989,305 
                       -   
                       -   
                       -   
                       -   
                       -","-   
                       -   
                       -   
                       -   
                       -   
                       -   
                       -",-,-,-,"-   
                       -   
                       -                 989,305",-,"-                 989,305"
"şöbələrində, yolda)",,,,,,,,,
"1. Nağd vəsaitlər (seyflərdə, bankomatlarda, valyuta mübadiləsi",,"479,342 
                       -   
                       -   
                       -   
                       -   
                       -","-   
                       -   
                       -   
                       -   
                       -   
                       -   
                       -",-,-,-,"-   
                       -              1,181,055 
           1,660,397",-,"-              1,660,397"
"şöbələrində, yolda)",A2,,,,,,,,
"3. “Nostro"" hesabları",A3,"113,977 
                       -   
                       -   
                       -   
                       -   
                       -","-   
                       -   
                       -   
                       -   
                       -   
                       -   
                       -",-,-,-,"-   
                       -   
                       -                 113,977",-,"-                 113,977"
4. Banklararası bazarın qısamüddətli maliyyə alətləri (7-ci gün,A4,"-                 461,902 
                       -   
                       -   
                       -   
                       -","-   
                       -   
                       -   
                       -   
                       -   
                       -   
                       -",-,-,-,"-   
                       -   
                       -                 461,902","461,902","-   
                       -"
də daxil olmaqla 7 günədək olanlar),,,,,,,,,
"5. Banklar daxil da olmaqla, maliyyə institutlarına depozitlər,",A5,"14,452 
                23,000 
                 9,085 
                       -   
                       -   
                       -                   17,000","10,200 
                       -   
                       -                   10,000 
                35,275","-                     7,942",-,-,"-   
                       -   
                       -                 126,954","126,954","-   
                       -"
cəmi,,,,,,,,,
6. Əks REPO əməliyyatları üzrə,A6,"-                 226,301 
              251,128 
                       -   
                       -   
                       -","-   
                       -   
                       -   
                       -   
                       -   
                       -   
                       -",-,-,-,"-   
                       -   
                       -                 477,429","477,429","-   
                       -"
7. Girov qoyulmuş qiymətli kağızlar da daxil olmaqla  qiymətli,A7,"-                     3,126 
                18,440 
                14,778 
                13,661 
                40,995","5,440 
                26,681 
                14,020 
                11,504 
                11,427 
                25,690 
                31,262","5,851","163,841","383,374","105,129 
                59,558 
                       -                 934,778","934,778","-   
                       -"
kağızlara investisiyalar,,,,,,,,,
8. Girov qoyulmuş qiymətli kağızlar da daxil olmaqla ticarət,A8,"-   
                       -   
                       -   
                       -   
                       -   
                       -","-   
                       -                     4,174 
                       -   
                       -   
                       -   
                       -",-,-,-,"-   
                       -                 144,289 
              148,463","148,463","-   
                       -"
üçün qiymətli kağızlar,,,,,,,,,
9. 4-cü sətir üzrə banklararası bazarın qısamüddətli maliyyə,A9,"-   
                       -   
                       -   
                       -   
                       -   
                       -","-                     3,400 
                       -                     8,500 
                 1,700 
                       -   
                       -",-,-,-,"-   
                       -                     2,550","16,150                  16,150","-   
                       -"
"alətləri istisna olmaqla, banklara kreditlər",,,,,,,,,
"10. 4-cü sətir üzrə qısamüddətli maliyyə alətləri istisna olmaqla,",A10,"-                        300 
                       -   
                       -                        100 
                       -                        190","122 
                    120 
                      48 
                 4,452 
                       -                          81",449,532,"1,080","583 
                       -   
                       -                     8,057","8,057","-   
                       -"
digər maliyyə institutlarına kreditlər,,,,,,,,,
11. Müştərilərə verilən kreditlər,A11,"30,052 
                34,457 
                66,268 
                58,479 
              149,943 
              150,111","135,074 
              122,790 
              174,196 
              194,771 
              120,335 
              140,816 
              127,586","138,017","139,364","1,372,989","623,900 
              505,430 
              498,534 
           4,783,112","4,689,105","-   
                       -"
12. Amortizasiya çıxılmaqla əsas vəsaitlər (bank işində istifadə,,"-   
                       -   
                       -   
                       -   
                       -   
                       -","-   
                       -   
                       -   
                       -   
                       -   
                       -   
                       -",-,-,-,"-   
                       -                   88,931 
                88,931",-,"-   
                       -"
olunmayan əsas vəsaitlər daxil olmaqla),A12,,,,,,,,
13. İcmallaşmamış şirkətlərdə investisiyalar və maliyyə iştirakı,A13,"-   
                       -   
                       -   
                       -   
                       -   
                       -","-   
                       -   
                       -   
                       -   
                       -   
                       -   
                       -",-,-,-,"-   
                       -                 128,217 
              128,217",-,"-   
                       -"
14. Qeyri-maddi aktivlər,A14,"-   
                       -   
                       -   
                       -   
                       -   
                       -","-   
                       -   
                       -   
                       -   
                       -   
                       -   
                       -",-,-,-,"-   
                       -                   30,409 
                30,409",-,"-   
                       -"
15. Digər aktivlər,A15,"-                 242,563 
                       -   
                       -   
                       -   
                       -","-   
                       -   
                       -   
                       -   
                       -   
                       -   
                       -",-,-,-,"-   
                       -                 332,033 
              574,596",-,"-                 574,596"
16. (çıx) Aktivlər üzrə mümkün zərərlərin ödənilməsi üçün,,"-   
                       -   
                       -   
                       -   
                       -   
                       -","-   
                       -   
                       -   
                       -   
                       -   
                       -   
                       -",-,-,-,"-   
                       -                 558,134 
              558,134",-,"-   
                       -"
məqsədli ehtiyatlar,A16,,,,,,,,
17. Cəmi aktivlər,A17,"1,627,127
              991,649 
              344,922 
                73,257 
              163,704 
              191,106","157,704 
              163,193 
              192,510 
              214,823 
              147,914 
              201,781 
              158,929","152,260","303,737","1,757,444","729,613 
              564,988 
           1,847,884 
           9,984,543","6,862,838","-              3,338,274"
,,,Ödəniş müddətinin başlanmasına qalmış günlər (illər),,,,,,O cumlədən
B. Öhdəliklər və kapital,,,,,,,,,
,,"ani 
 1-7 
 8-14 
 15-30 
 31-60  
 61-90","91-120  
 121-150  
 151-180  
 181-210  
 211-240  
 241-270  
 271-300",301-330,331-365 (366),1-2 il,"2-3 il 
 3-5 il 
 5 ildən artıq 
 Cəmi",sabit faizlə,"dəyişkən faizlə 
 faizsiz"
1. Depozitlər (banklar və digər maliyyə müəssisələri istisna,B1,"5,624,449 
                36,900 
                85,295 
                73,018 
              143,028 
              110,423","79,304 
              101,038 
              175,188 
                77,575 
              118,965 
              220,854 
              131,652","105,556","269,402","144,576","101,074 
                 2,791 
                        1 
           7,601,089","3,736,278","-              3,864,811"
"olmaqla), cəmi",,,,,,,,,
a) fiziki şəxslərin tələbli depozitlər,B1a,"1,592,283 
                       -   
                       -   
                       -   
                       -   
                       -","-   
                       -   
                       -   
                       -   
                       -   
                       -   
                       -",-,-,-,"-   
                       -   
                       -              1,592,283",,"1,592,283"
b) hüquqi şəxslərin tələbli depozitləri (bütün cari (qeyri-bank,,,,,,,,,
maliyyə institutlarının cari hesabları da daxil olmaqla) və çek,B1b,"4,020,165 
                       -   
                       -   
                       -   
                       -   
                       -","-   
                       -   
                       -   
                       -   
                       -   
                       -   
                       -",-,-,-,"-   
                       -   
                       -              4,020,165","1,747,637","2,272,528"
hesabları  daxil olmaqla),,,,,,,,,
c) qaytarılma vaxtı bitməmiş fiziki şəxslərin müddətli depozitlər,B1c,"1 
                 6,900 
10,295.01
46,018.23
73,028.15
63,621.23","67,304.29 
           47,037.83 
         118,024.92 
           52,075.17 
           83,065.25 
           51,453.99 
           69,052.12","54,955.62","83,601.63","141,371.49","101,073.76 
                291.04 
                       -              1,069,171","1,069,171",
d) qaytarılma vaxtı bitməmiş hüquqi şəxslərin müddətli,,"12,000 
                30,000 
75,000.00
27,000.00
70,000.00
46,801.93","12,000.00 
           54,000.00 
           57,163.00 
           25,500.00 
           35,900.00 
         169,400.00 
           62,600.00","50,600.00","185,800.00","3,205.00","-                2,500.00 
                        1 
              919,470","919,470",
depozitlər,B1d,,,,,,,,
2. AMB-nın kreditləri,B2,"-   
                       -   
                       -   
                       -   
                       -","-   
                       -   
                       -   
                       -   
                       -   
                       -   
                       -",-,-                        540,,"-   
                       -   
                       -                        540",540,-
"3. “Loro"" hesabları (bankların müxbir hesabları)",B3,"6,563 
                       -   
                       -   
                       -   
                       -   
                       -","-   
                       -   
                       -   
                       -   
                       -   
                       -   
                       -",-,-,-,"-   
                       -   
                       -                     6,563",-,"-                     6,563"
4. REPO əməliyyatları üzrə,B4,"-                   28,089 
                       -   
                       -   
                       -   
                       -","-   
                       -   
                       -   
                       -   
                       -   
                       -   
                       -",-,-,-,"-   
                       -   
                       -   
                28,089","28,089","-   
                       -"
5. Banklararası bazarın qazanılmış qısamüddətli maliyyə alətləri,,"-                          -   
                       -   
                       -   
                       -   
                       -","-   
                       -   
                       -   
                       -   
                       -   
                       -   
                       -",-,-,-,"-   
                       -   
                       -   
                       -",-,-
(7-ci gün də daxil olmaqla 7 günədək  olanlar),B5,,,,,,,,
6. Bankların və digər maliyyə institutların depozitləri,B6,"25 
                20,001 
                28,268 
                       -   
                       -                     1,000","17,000 
                10,700 
                       -                     3,826 
                10,985 
                36,675 
                    132","-                   95,000",,"1,372","-                   53,299 
                 1,540 
              279,821","279,821","-   
                       -"
7. Banklardan alınmış kreditlər (7 gündən artıq müddətli,,"-   
                       -   
                       -   
                       -   
                       -   
                       -","-   
                       -   
                       -   
                       -   
                       -   
                       -   
                       -",-,"-                   40,354",,"-   
                       -   
                       -                   40,354","40,354","-   
                       -"
olanlar),B7,,,,,,,,
"8. Beynəlxalq təşkilatlar daxil olmaqla, digər maliyyə",B8,"-   
                       -   
                       -   
                       -   
                       -   
                       -","-                        300 
                      18 
                      52 
                    225 
                       -                          37",123,"1,429","7,075","9,992 
                10,141 
              445,136 
              474,527","474,527",-
institutlarından alınmış kreditlər,,,,,,,,,
9. Mərkəzi  idarəetmə orqanlarının kreditləri və depozitləri,B9,"-   
                       -   
                       -   
                       -   
                       -   
                       -","-   
                       -   
                       -   
                       -   
                       -   
                       -   
                       -",-,-,-,"-   
                       -   
                       -   
                       -",-,-
10. Bələdiyyələrin kreditləri və depozitləri,B10,"-   
                       -   
                       -   
                       -   
                       -   
                       -","-   
                       -   
                       -   
                       -   
                       -   
                       -   
                       -",-,-,-,"-   
                       -   
                       -   
                       -",-,"-   
                       -"
11. Öz ehtiyatları üçün bank tərəfindən alınmış ipoteka,,"-   
                       -   
                       -   
                       -   
                       -   
                       -","-   
                       -   
                       -   
                       -   
                       -   
                       -   
                       -",-,-,-,"-   
                       -   
                       -   
                       -",-,"-   
                       -"
kreditləri,B11,,,,,,,,
"12. Ödəmə müddətli imtiyazlı səhmlər daxil olmaqla, bank",,,,,,,,,
tərəfindən buraxılmış subordinasiyalı borc və sair bu qəbildən,B12,"-   
                       -   
                       -   
                       -   
                       -   
                       -","-   
                       -   
                       -   
                       -   
                       -   
                       -   
                       -",-,-,-,"-                   59,500 
              168,000 
              227,500","227,500","-   
                       -"
olan borc öhdəlikləri,,,,,,,,,
13. Digər passivlər,B13,"358,169 
                       -   
                       -   
                       -   
                       -   
                       -","-   
                       -   
                       -   
                       -   
                       -   
                       -   
                       -",-,-,-,"-   
                       -   
                       -                 358,169",-,"-                 358,169"
14. Kapital,B14,"-   
                       -   
                       -   
                       -   
                       -   
                       -","-   
                       -   
                       -   
                       -   
                       -   
                       -   
                       -",-,-,-,"-   
                       -                 967,891 
              967,891",-,"-                 967,891"
15. Cəmi passivlər (öhdəliklər üstəgəl kapital),B15,"5,989,206 
                84,990 
              113,563 
                73,018 
              143,028 
              111,423","96,304 
              112,037 
              175,206 
                81,454 
              130,175 
              257,529 
              131,821","105,679","365,831","193,917","111,066 
              125,731 
           1,582,567 
           9,984,543","4,787,109","-              4,229,543"
16.  Hər bir dövr üçün maliyyə aktivlərinin (passivlərinin) xalis,,"(4,362,079)
              906,659 
              231,359 
                    239 
                20,676 
                79,683","61,399 
                51,155 
                17,304 
              133,369 
                17,739 
              (55,748)
                27,108","46,581","(62,094)","1,563,526","618,547 
              439,258 
              265,317","-              2,075,729","-               (891,269)"
məbləği,B16,,,,,,,,
,,"0-3 ay 
 3-6 ay 
 6-9 ay 
 9-12 ay 
 1-2 il 
 2-3 il","3-5 il 
 5 ildən artıq 
 Cəmi",,,,,,
Faiz dərəcəsinə həssas cəmi aktivlər,C1,"1,724,282 
              728,229 
              564,518 
              614,925 
           1,757,444 
              729,613","645,373 
              144,289 
           6,908,673",,,,,,
Faiz dərəcəsinə həssas cəmi öhdəliklər,C1,"2,273,659 
              738,760 
              886,274 
           1,013,219 
              291,065 
              212,139","58,881 
              445,136 
           5,919,134",,,,,,
Qəp,C1,"(549,377)
              (10,531)
            (321,757)
            (398,293)
           1,466,379 
              517,473","586,492 
            (300,847)",,,,,,
Kumulyativ qəp,C1,"673,318 
            (559,908)
            (881,665)
         (1,279,958)
              186,421 
              703,894","1,290,386 
              989,539",,,,,,
